City,Day,AQI,Group,Index,Day Number
Quanzhou,Monday,50.55769231,Low,1,1
Quanzhou,Tuesday,50.17307692,Low,1,2
Quanzhou,Wednesday,47.98076923,Low,1,3
Quanzhou,Thursday,50.39622642,Low,1,4
Quanzhou,Friday,47.75,Low,1,5
Quanzhou,Saturday,47.69230769,Low,1,6
Quanzhou,Sunday,48.38461538,Low,1,7
Xiamen,Monday,51.01923077,Low,2,1
Xiamen,Tuesday,49.28846154,Low,2,2
Xiamen,Wednesday,46.80769231,Low,2,3
Xiamen,Thursday,47.35849057,Low,2,4
Xiamen,Friday,48.69230769,Low,2,5
Xiamen,Saturday,48.25,Low,2,6
Xiamen,Sunday,48.73076923,Low,2,7
Yuxi,Monday,43.01923077,Low,3,1
Yuxi,Tuesday,42.23076923,Low,3,2
Yuxi,Wednesday,41.80769231,Low,3,3
Yuxi,Thursday,44.09433962,Low,3,4
Yuxi,Friday,42.40384615,Low,3,5
Yuxi,Saturday,41.94230769,Low,3,6
Yuxi,Sunday,41.19230769,Low,3,7
Haikou,Monday,38.23076923,Low,4,1
Haikou,Tuesday,38.59615385,Low,4,2
Haikou,Wednesday,38.88461538,Low,4,3
Haikou,Thursday,41.69811321,Low,4,4
Haikou,Friday,41.88461538,Low,4,5
Haikou,Saturday,40.21153846,Low,4,6
Haikou,Sunday,38.96153846,Low,4,7
Sanya,Monday,33.36538462,Low,5,1
Sanya,Tuesday,33.94230769,Low,5,2
Sanya,Wednesday,34.17307692,Low,5,3
Sanya,Thursday,36.41509434,Low,5,4
Sanya,Friday,36,Low,5,5
Sanya,Saturday,34.30769231,Low,5,6
Sanya,Sunday,33.11538462,Low,5,7
Hangzhou,Monday,78.88461538,Middle,1,1
Hangzhou,Tuesday,81.76923077,Middle,1,2
Hangzhou,Wednesday,76.42307692,Middle,1,3
Hangzhou,Thursday,77.67924528,Middle,1,4
Hangzhou,Friday,83.55769231,Middle,1,5
Hangzhou,Saturday,81.25,Middle,1,6
Hangzhou,Sunday,78.84615385,Middle,1,7
Dalian,Monday,85.78846154,Middle,2,1
Dalian,Tuesday,76.75,Middle,2,2
Dalian,Wednesday,70.59615385,Middle,2,3
Dalian,Thursday,64.41509434,Middle,2,4
Dalian,Friday,70.82692308,Middle,2,5
Dalian,Saturday,76.92307692,Middle,2,6
Dalian,Sunday,91.96153846,Middle,2,7
Ma'anshan,Monday,87.59615385,Middle,3,1
Ma'anshan,Tuesday,83.67307692,Middle,3,2
Ma'anshan,Wednesday,80,Middle,3,3
Ma'anshan,Thursday,83.1509434,Middle,3,4
Ma'anshan,Friday,89.78846154,Middle,3,5
Ma'anshan,Saturday,88.48076923,Middle,3,6
Ma'anshan,Sunday,84.46153846,Middle,3,7
Jiaozhou,Monday,81.92307692,Middle,4,1
Jiaozhou,Tuesday,75.69230769,Middle,4,2
Jiaozhou,Wednesday,74.82692308,Middle,4,3
Jiaozhou,Thursday,74.52830189,Middle,4,4
Jiaozhou,Friday,74.69230769,Middle,4,5
Jiaozhou,Saturday,82.23076923,Middle,4,6
Jiaozhou,Sunday,79.92307692,Middle,4,7
Changsha,Monday,85.13461538,Middle,5,1
Changsha,Tuesday,85.84615385,Middle,5,2
Changsha,Wednesday,85.51923077,Middle,5,3
Changsha,Thursday,82.0754717,Middle,5,4
Changsha,Friday,83.09615385,Middle,5,5
Changsha,Saturday,84.28846154,Middle,5,6
Changsha,Sunday,85.19230769,Middle,5,7
Baoding,Monday,151.7115385,High,1,1
Baoding,Tuesday,142.6346154,High,1,2
Baoding,Wednesday,136.9807692,High,1,3
Baoding,Thursday,139.490566,High,1,4
Baoding,Friday,142.0576923,High,1,5
Baoding,Saturday,143.0192308,High,1,6
Baoding,Sunday,152.8076923,High,1,7
Hengshui,Monday,141.9038462,High,2,1
Hengshui,Tuesday,142.7115385,High,2,2
Hengshui,Wednesday,147.1538462,High,2,3
Hengshui,Thursday,133.490566,High,2,4
Hengshui,Friday,130.4807692,High,2,5
Hengshui,Saturday,139.8269231,High,2,6
Hengshui,Sunday,149,High,2,7
Xingtai,Monday,141.9230769,High,3,1
Xingtai,Tuesday,143.9423077,High,3,2
Xingtai,Wednesday,134.5192308,High,3,3
Xingtai,Thursday,133.6981132,High,3,4
Xingtai,Friday,135.1153846,High,3,5
Xingtai,Saturday,135.0192308,High,3,6
Xingtai,Sunday,138.8076923,High,3,7
Zhengzhou,Monday,137.4615385,High,4,1
Zhengzhou,Tuesday,134.3846154,High,4,2
Zhengzhou,Wednesday,127.7692308,High,4,3
Zhengzhou,Thursday,140.5849057,High,4,4
Zhengzhou,Friday,128.0769231,High,4,5
Zhengzhou,Saturday,138.8269231,High,4,6
Zhengzhou,Sunday,138.4615385,High,4,7
Dezhou,Monday,141.5384615,High,5,1
Dezhou,Tuesday,137.0576923,High,5,2
Dezhou,Wednesday,141.0192308,High,5,3
Dezhou,Thursday,133.6792453,High,5,4
Dezhou,Friday,131.7692308,High,5,5
Dezhou,Saturday,136.4423077,High,5,6
Dezhou,Sunday,145.2692308,High,5,7