City,Time,PM2.5,Time Number
Beijing,12:00:00 AM,91.49025974,0
Beijing,1:00:00 AM,93.46078431,1
Beijing,2:00:00 AM,90.83986928,2
Beijing,3:00:00 AM,87.10032362,3
Beijing,4:00:00 AM,82.68954248,4
Beijing,5:00:00 AM,80.84158416,5
Beijing,6:00:00 AM,80.51290323,6
Beijing,7:00:00 AM,80.19808307,7
Beijing,8:00:00 AM,78.68316832,8
Beijing,9:00:00 AM,78.37541528,9
Beijing,10:00:00 AM,77.94791667,10
Beijing,11:00:00 AM,77.51186441,11
Beijing,12:00:00 PM,76.08724832,12
Beijing,1:00:00 PM,73.6722408,13
Beijing,2:00:00 PM,70.32881356,14
Beijing,3:00:00 PM,69.3862069,15
Beijing,4:00:00 PM,73.23469388,16
Beijing,5:00:00 PM,77.60855263,17
Beijing,6:00:00 PM,81.3592233,18
Beijing,7:00:00 PM,90,19
Beijing,8:00:00 PM,90.37540453,20
Beijing,9:00:00 PM,93.5562701,21
Beijing,10:00:00 PM,94.27508091,22
Beijing,11:00:00 PM,92.17567568,23
Shenyang,12:00:00 AM,77.43181818,0
Shenyang,1:00:00 AM,81.55555556,1
Shenyang,2:00:00 AM,82.19607843,2
Shenyang,3:00:00 AM,84.67961165,3
Shenyang,4:00:00 AM,87.08169935,4
Shenyang,5:00:00 AM,88.11221122,5
Shenyang,6:00:00 AM,89.00645161,6
Shenyang,7:00:00 AM,90.29073482,7
Shenyang,8:00:00 AM,90.82178218,8
Shenyang,9:00:00 AM,89.11627907,9
Shenyang,10:00:00 AM,84.85763889,10
Shenyang,11:00:00 AM,78.0779661,11
Shenyang,12:00:00 PM,72.51677852,12
Shenyang,1:00:00 PM,66.06354515,13
Shenyang,2:00:00 PM,58.57966102,14
Shenyang,3:00:00 PM,59.85517241,15
Shenyang,4:00:00 PM,61.21768707,16
Shenyang,5:00:00 PM,64.20065789,17
Shenyang,6:00:00 PM,68.47249191,18
Shenyang,7:00:00 PM,72.75816993,19
Shenyang,8:00:00 PM,76.38187702,20
Shenyang,9:00:00 PM,79.31189711,21
Shenyang,10:00:00 PM,80.67313916,22
Shenyang,11:00:00 PM,73.74324324,23
Chengdu,12:00:00 AM,73.5,0
Chengdu,1:00:00 AM,76.10130719,1
Chengdu,2:00:00 AM,76.96732026,2
Chengdu,3:00:00 AM,77.37216828,3
Chengdu,4:00:00 AM,78.03594771,4
Chengdu,5:00:00 AM,78.47194719,5
Chengdu,6:00:00 AM,77.35806452,6
Chengdu,7:00:00 AM,78.85623003,7
Chengdu,8:00:00 AM,81.12541254,8
Chengdu,9:00:00 AM,80.73754153,9
Chengdu,10:00:00 AM,78.02430556,10
Chengdu,11:00:00 AM,78.42711864,11
Chengdu,12:00:00 PM,75.89932886,12
Chengdu,1:00:00 PM,72.84615385,13
Chengdu,2:00:00 PM,69.11864407,14
Chengdu,3:00:00 PM,66.83793103,15
Chengdu,4:00:00 PM,65.7414966,16
Chengdu,5:00:00 PM,67.06578947,17
Chengdu,6:00:00 PM,69.06148867,18
Chengdu,7:00:00 PM,71.90522876,19
Chengdu,8:00:00 PM,72.76375405,20
Chengdu,9:00:00 PM,73.52411576,21
Chengdu,10:00:00 PM,74.73139159,22
Chengdu,11:00:00 PM,75.77364865,23
Guangzhou,12:00:00 AM,39.88311688,0
Guangzhou,1:00:00 AM,41.12745098,1
Guangzhou,2:00:00 AM,40.5130719,2
Guangzhou,3:00:00 AM,40.00647249,3
Guangzhou,4:00:00 AM,39.71568627,4
Guangzhou,5:00:00 AM,39.37623762,5
Guangzhou,6:00:00 AM,38.80967742,6
Guangzhou,7:00:00 AM,39.20447284,7
Guangzhou,8:00:00 AM,39.80528053,8
Guangzhou,9:00:00 AM,39.57142857,9
Guangzhou,10:00:00 AM,40.04513889,10
Guangzhou,11:00:00 AM,39.88813559,11
Guangzhou,12:00:00 PM,40.45973154,12
Guangzhou,1:00:00 PM,39.32107023,13
Guangzhou,2:00:00 PM,39.29830508,14
Guangzhou,3:00:00 PM,38.35172414,15
Guangzhou,4:00:00 PM,38.34013605,16
Guangzhou,5:00:00 PM,39.92434211,17
Guangzhou,6:00:00 PM,41.70873786,18
Guangzhou,7:00:00 PM,44.10784314,19
Guangzhou,8:00:00 PM,45.0420712,20
Guangzhou,9:00:00 PM,44.32797428,21
Guangzhou,10:00:00 PM,42.70873786,22
Guangzhou,11:00:00 PM,40.62837838,23
Shanghai,12:00:00 AM,49.72727273,0
Shanghai,1:00:00 AM,50.54901961,1
Shanghai,2:00:00 AM,50.37908497,2
Shanghai,3:00:00 AM,50.86407767,3
Shanghai,4:00:00 AM,50.22875817,4
Shanghai,5:00:00 AM,49.96039604,5
Shanghai,6:00:00 AM,51.27096774,6
Shanghai,7:00:00 AM,52.62300319,7
Shanghai,8:00:00 AM,52.80858086,8
Shanghai,9:00:00 AM,52.72757475,9
Shanghai,10:00:00 AM,52.01041667,10
Shanghai,11:00:00 AM,50.73220339,11
Shanghai,12:00:00 PM,52.67785235,12
Shanghai,1:00:00 PM,51.35117057,13
Shanghai,2:00:00 PM,51.69491525,14
Shanghai,3:00:00 PM,51.72413793,15
Shanghai,4:00:00 PM,52.46598639,16
Shanghai,5:00:00 PM,53.26644737,17
Shanghai,6:00:00 PM,55.34627832,18
Shanghai,7:00:00 PM,55.92810458,19
Shanghai,8:00:00 PM,54.15533981,20
Shanghai,9:00:00 PM,51.95176849,21
Shanghai,10:00:00 PM,51.02588997,22
Shanghai,11:00:00 PM,50.66554054,23